feature,importance
Volume_price_trend,0.029524937345183456
Return_1d,0.027176668465183698
Return_7d,0.025156507956427245
Close_Low_ratio,0.024856632854313797
BB_position,0.02360741795048151
Volume_ratio_10,0.023501608070171723
Volume_ratio_20,0.022819695863071632
Volume_std_10,0.022810392386183667
Stoch_k,0.021775206372822042
Price_position,0.02152932737962662
Return_3d,0.020175493569767947
Close_EMA_7_ratio,0.02002751574087236
Williams_R,0.019965054153626413
RSI_14,0.019453988316607183
OBV,0.019430892188276944
Close_SMA_21_ratio,0.018947961604790925
Volume_SMA_10,0.018418484281982856
BB_lower_dist,0.018196664924829253
ROC_10,0.018051030379753082
BB_upper_dist,0.017959418223643168
Close_SMA_7_ratio,0.01786459498244985
DayOfWeek,0.01784647341432528
Stoch_d,0.017352798802183017
Close_SMA_50_ratio,0.016847557749721895
ATR_14,0.016787579882537842
Close_High_ratio,0.01672031121060091
BB_width,0.016487698693075217
MACD_histogram,0.01643526284857348
HL_ratio,0.016119830597702584
Dist_from_low_20,0.015525155534682844
Volatility_10,0.015439390472638146
ROC_20,0.015295434957671536
Close_EMA_21_ratio,0.015231931153113158
Volatility_50,0.015074026044328694
MACD_signal,0.014925088355666472
Close_EMA_50_ratio,0.01433793589845823
BB_upper,0.013587907848526277
AD_Line,0.013501579216083479
Volume_SMA_20,0.013402394506585081
MACD,0.013110016095751832
Close_SMA_200_ratio,0.013020318996469236
RSI_30,0.01292531980867054
Days_since_high_50,0.012785678378993985
SMA_50,0.012651628000398365
Volatility_20,0.012390909220453989
ATR_14_pct,0.012244124345479897
Dist_from_high_20,0.012013714846186144
ATR_20,0.011958263189973348
EMA_7,0.011537434749226584
SMA_7,0.011426734828243676
EMA_200,0.011416675097711392
Close_EMA_200_ratio,0.011157742291152026
BB_lower,0.010825192166871455
Days_since_high_20,0.010525308363080344
Days_since_low_50,0.010400807279264745
ATR_20_pct,0.010259787846983715
Days_since_low_20,0.010257201098378825
SMA_200,0.010229988223185797
EMA_50,0.010159491715075615
EMA_21,0.009912827055182405
SMA_21,0.00984094751696753
BB_middle,0.008749909545246553
Month,0.005183109304824008
Quarter,0.002582399285435335
Year,0.00016956081224124697
VPT,9.705974201181734e-05
